epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5951,0.68361,3.00905,1.04383,0.00333,1,0.18214,0.11758,0.46989,2.77592,0.84122,0,0,0
2,26.955,0.57546,3.05061,1.00326,0.00333,1,0.22868,0.17474,0.45572,2.79328,0.8451,1.97525e-05,1.97525e-05,1.97525e-05
3,40.9637,0.61821,2.94565,0.98059,0.00333,1,0.33332,0.2265,0.49211,2.80808,0.88362,3.901e-05,3.901e-05,3.901e-05
4,54.4197,0.53386,2.81694,0.97363,0.00333,1,0.59572,0.39603,0.49699,2.81253,0.88618,5.77725e-05,5.77725e-05,5.77725e-05
5,67.8124,0.55655,2.79947,0.94554,0.00333,1,0.90885,0.60827,0.38978,2.81835,0.83784,7.604e-05,7.604e-05,7.604e-05
6,81.1504,0.60528,2.72675,0.99379,0.00333,1,0.97214,0.77951,0.42214,2.7905,0.85504,9.38125e-05,9.38125e-05,9.38125e-05
7,94.4695,0.55089,2.48926,0.96246,0.00333,1,0.97214,0.80715,0.36662,2.76463,0.82902,0.00011109,0.00011109,0.00011109
8,107.731,0.50834,2.45941,0.92099,0.00333,1,0.995,0.86056,0.35362,2.75606,0.79784,0.000127872,0.000127872,0.000127872
9,121.045,0.62554,2.33186,1.00532,0.00333,1,0.995,0.85923,0.37003,2.73766,0.7861,0.00014416,0.00014416,0.00014416
10,134.645,0.55722,2.23195,0.93134,0.00333,1,0.995,0.80946,0.41873,2.73391,0.78653,0.000159952,0.000159952,0.000159952
11,148.181,0.61973,2.14247,0.96296,0.00333,1,0.995,0.80267,0.50978,2.72469,0.8046,0.00017525,0.00017525,0.00017525
12,162.013,0.61225,2.03829,0.95946,0.00333,1,0.995,0.7886,0.51373,2.7216,0.81897,0.000190053,0.000190053,0.000190053
13,175.553,0.61137,1.85526,0.95373,0.00333,1,0.97214,0.75489,0.5225,2.72411,0.84022,0.00020436,0.00020436,0.00020436
14,189.419,0.53243,1.69147,0.88327,0.00333,1,0.995,0.66126,0.5987,2.74972,0.89435,0.000218173,0.000218173,0.000218173
