epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6939,1.77153,1.94323,2.50187,0.00329,0.66667,0.00576,0.00132,3.02781,3.89596,4.29639,0,0,0
2,28.9424,1.626,1.79951,2.30744,0.00329,0.66667,0.00571,0.00131,3.02832,3.89534,4.29673,1.9604e-05,1.9604e-05,1.9604e-05
3,42.4561,1.47924,1.78965,2.20527,0.00327,0.66667,0.00564,0.0013,3.02965,3.89561,4.2981,3.8416e-05,3.8416e-05,3.8416e-05
4,55.8452,1.61619,1.81982,2.43453,0.00325,0.66667,0.00563,0.00129,3.03052,3.89644,4.2991,5.6436e-05,5.6436e-05,5.6436e-05
5,69.8594,1.55322,1.84654,2.39207,0.00326,0.66667,0.00568,0.0013,3.03202,3.89794,4.29945,7.3664e-05,7.3664e-05,7.3664e-05
6,83.2857,1.67817,1.80954,2.42368,0.00329,0.66667,0.0057,0.00143,3.03391,3.89918,4.29989,9.01e-05,9.01e-05,9.01e-05
7,97.1653,1.57485,1.78964,2.3925,0.00328,0.66667,0.0057,0.00131,3.03518,3.89901,4.30105,0.000105744,0.000105744,0.000105744
8,110.344,1.69292,1.96683,2.47923,0.00331,0.66667,0.00565,0.0013,3.03589,3.89734,4.30148,0.000120596,0.000120596,0.000120596
9,123.428,1.70381,1.93464,2.58287,0.00331,0.66667,0.00548,0.00126,3.03553,3.89423,4.30061,0.000134656,0.000134656,0.000134656
10,136.733,1.52528,1.94194,2.36593,0.00333,0.66667,0.0055,0.00126,3.03598,3.88953,4.30069,0.000147924,0.000147924,0.000147924
11,149.92,1.71596,1.85977,2.49697,0.00338,0.66667,0.00577,0.00144,3.03636,3.88494,4.30105,0.0001604,0.0001604,0.0001604
12,162.916,1.74575,2.01929,2.57864,0.00336,0.66667,0.0058,0.00145,3.03573,3.88154,4.30001,0.000172084,0.000172084,0.000172084
13,176.592,1.67115,1.88296,2.40218,0.00335,0.66667,0.00568,0.00142,3.03667,3.87972,4.30047,0.000182976,0.000182976,0.000182976
14,190.061,1.45392,1.78587,2.29483,0.00335,0.66667,0.00548,0.00138,3.03699,3.87926,4.30038,0.000193076,0.000193076,0.000193076
15,203.208,1.48319,1.79735,2.31218,0.00336,0.66667,0.00548,0.00138,3.03774,3.87971,4.30038,0.000202384,0.000202384,0.000202384
16,216.41,1.58785,1.78202,2.36398,0.00334,0.66667,0.00547,0.00125,3.03907,3.8811,4.29957,0.0002109,0.0002109,0.0002109
17,230.155,1.64502,1.7327,2.37679,0.00334,0.66667,0.00545,0.00125,3.03963,3.88274,4.29856,0.000218624,0.000218624,0.000218624
18,243.996,1.38319,1.65185,2.18802,0.00336,0.66667,0.00552,0.00126,3.04111,3.88422,4.29832,0.000225556,0.000225556,0.000225556
19,257.566,1.51568,1.83484,2.25921,0.00336,0.66667,0.00545,0.00124,3.04321,3.88556,4.29948,0.000231696,0.000231696,0.000231696
20,271.193,1.53193,1.89852,2.25489,0.00413,0.83333,0.00611,0.00131,3.0468,3.88663,4.30166,0.000237044,0.000237044,0.000237044
21,284.593,1.43695,1.5637,2.26265,0.00411,0.83333,0.00611,0.00129,3.04877,3.88704,4.30275,0.0002416,0.0002416,0.0002416
