epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2363,1.90311,2.19874,2.60761,0.00327,0.66667,0.00565,0.00147,3.01116,3.91125,4.28198,0,0,0
2,35.3083,1.8227,2.13358,2.44999,0.00327,0.66667,0.00569,0.00148,3.01249,3.91022,4.28292,1.9604e-05,1.9604e-05,1.9604e-05
3,51.5266,1.60054,2.03264,2.34392,0.00327,0.66667,0.00573,0.00149,3.01409,3.90957,4.28442,3.8416e-05,3.8416e-05,3.8416e-05
4,67.2567,1.76535,2.06054,2.57694,0.00329,0.66667,0.00573,0.00133,3.01559,3.90866,4.28598,5.6436e-05,5.6436e-05,5.6436e-05
5,83.5455,1.66047,2.03509,2.49778,0.00328,0.66667,0.00573,0.00133,3.01718,3.90808,4.28775,7.3664e-05,7.3664e-05,7.3664e-05
6,100.535,1.67743,2.0638,2.4875,0.00328,0.66667,0.0057,0.00131,3.01942,3.90728,4.28936,9.01e-05,9.01e-05,9.01e-05
7,116.185,1.69708,1.97862,2.53491,0.00329,0.66667,0.00572,0.00131,3.0224,3.90611,4.29257,0.000105744,0.000105744,0.000105744
8,132.161,1.78909,2.06366,2.56986,0.00329,0.66667,0.00579,0.00133,3.02408,3.90399,4.2944,0.000120596,0.000120596,0.000120596
9,148.13,1.72967,2.04113,2.62429,0.00328,0.66667,0.0057,0.00131,3.02546,3.90184,4.29586,0.000134656,0.000134656,0.000134656
10,163.916,1.69617,1.96489,2.42586,0.00328,0.66667,0.00571,0.00131,3.02738,3.89925,4.29712,0.000147924,0.000147924,0.000147924
11,177.739,1.85993,1.8515,2.55794,0.00329,0.66667,0.00574,0.00132,3.02792,3.89669,4.29679,0.0001604,0.0001604,0.0001604
