epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5221,0.77148,1.46142,0.88878,1,0.41289,0.4975,0.37618,0.79572,3.23937,0.84571,0,0,0
2,28.1219,0.68043,1.35543,0.80574,1,0.38754,0.4975,0.37618,0.78656,3.2139,0.84492,1.23763e-05,1.23763e-05,1.23763e-05
3,41.5823,0.7797,1.8124,0.79543,1,0.37125,0.4975,0.40367,0.76901,3.20076,0.84352,2.4505e-05,2.4505e-05,2.4505e-05
4,53.318,0.68176,1.51923,0.81066,1,0.38713,0.4975,0.42026,0.74461,3.1887,0.84047,3.63862e-05,3.63862e-05,3.63862e-05
5,64.6117,0.74064,1.43772,0.89472,1,0.40467,0.4975,0.42026,0.72128,3.16699,0.84013,4.802e-05,4.802e-05,4.802e-05
6,76.3043,0.77516,1.59248,0.84226,1,0.41825,0.4975,0.42026,0.70898,3.15082,0.84046,5.94062e-05,5.94062e-05,5.94062e-05
7,87.9165,0.63094,1.57292,0.84587,1,0.43457,0.4975,0.40367,0.69381,3.11354,0.83777,7.0545e-05,7.0545e-05,7.0545e-05
8,99.6367,0.64287,1.47148,0.84903,1,0.44421,0.4975,0.40367,0.69226,3.06903,0.83568,8.14362e-05,8.14362e-05,8.14362e-05
9,111.315,0.6128,1.28825,0.82231,1,0.45244,0.4975,0.40367,0.7017,3.02793,0.83725,9.208e-05,9.208e-05,9.208e-05
10,123.315,0.7349,1.37757,0.84297,1,0.453,0.4975,0.40367,0.70942,2.99947,0.842,0.000102476,0.000102476,0.000102476
11,134.839,0.62986,1.19685,0.8737,1,0.45497,0.4975,0.40368,0.73979,2.98834,0.85135,0.000112625,0.000112625,0.000112625
12,146.616,0.70902,1.33219,0.81355,1,0.45383,0.4975,0.40368,0.80475,2.96635,0.86413,0.000122526,0.000122526,0.000122526
13,158.371,0.65803,1.30956,0.82816,1,0.45203,0.4975,0.40368,0.88166,2.90793,0.87697,0.00013218,0.00013218,0.00013218
14,169.947,0.68559,1.40872,0.88585,1,0.44365,0.4975,0.40368,0.88596,2.89792,0.88038,0.000141586,0.000141586,0.000141586
15,181.682,0.52669,1.46806,0.83065,1,0.41135,0.4975,0.42027,0.86597,2.93363,0.88377,0.000150745,0.000150745,0.000150745
16,193.304,0.72802,1.5825,0.85143,1,0.36172,0.4975,0.44775,0.84028,2.99709,0.89051,0.000159656,0.000159656,0.000159656
17,205.153,0.83708,1.53176,0.87814,1,0.44355,0.4975,0.43134,0.8083,3.05122,0.89079,0.00016832,0.00016832,0.00016832
18,216.37,0.81539,1.54153,0.87143,1,0.44355,0.4975,0.43134,0.8083,3.05122,0.89079,0.000176736,0.000176736,0.000176736
