epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.14704,0.40739,0.8849,0.80567,0.98575,0.66667,0.66333,0.56383,0.60675,1.96276,0.76901,0,0,0
2,12.5956,0.42202,0.77604,0.78851,0.98606,0.66667,0.66433,0.56393,0.61332,1.96507,0.76958,9.901e-06,9.901e-06,9.901e-06
3,18.6754,0.4205,0.87531,0.81738,0.98569,0.66667,0.66434,0.56393,0.62163,1.96406,0.77201,1.9604e-05,1.9604e-05,1.9604e-05
4,24.4521,0.37987,0.82652,0.81587,0.9834,0.66667,0.66432,0.57224,0.6213,1.95248,0.7742,2.9109e-05,2.9109e-05,2.9109e-05
5,30.4174,0.39455,0.9046,0.82178,0.98143,0.66667,0.66433,0.57224,0.62051,1.95727,0.77623,3.8416e-05,3.8416e-05,3.8416e-05
6,36.2221,0.42321,0.85937,0.76567,0.97852,0.66667,0.66432,0.57223,0.6168,1.9605,0.78061,4.7525e-05,4.7525e-05,4.7525e-05
7,41.8801,0.4233,0.77436,0.8339,0.9754,0.66667,0.66425,0.57232,0.60951,1.9811,0.78186,5.6436e-05,5.6436e-05,5.6436e-05
8,47.637,0.31949,0.7876,0.78785,0.97278,0.66667,0.66422,0.5889,0.61766,1.9615,0.78299,6.5149e-05,6.5149e-05,6.5149e-05
9,53.5627,0.36821,0.74266,0.781,0.97068,0.66667,0.6642,0.5889,0.62141,1.92795,0.78244,7.3664e-05,7.3664e-05,7.3664e-05
10,59.687,0.3986,0.80478,0.79204,0.96946,0.66667,0.66418,0.5889,0.626,1.89562,0.78216,8.1981e-05,8.1981e-05,8.1981e-05
11,65.5014,0.38504,0.87845,0.78764,0.96727,0.66667,0.66416,0.57231,0.63836,1.87119,0.78313,9.01e-05,9.01e-05,9.01e-05
