epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.24586,3.85381,4.22936,4.37351,0,0,0,0,2.57509,4.31894,4.15799,0.1,0,0
2,7.40234,3.46864,4.2418,4.42388,0,0,0,0,2.57279,4.3134,4.15716,0.099098,9.802e-05,9.802e-05
3,10.5626,3.36629,4.25234,4.49782,0,0,0,0,2.57,4.30999,4.15613,0.0981921,0.00019208,0.00019208
4,13.691,3.04826,4.25149,4.31445,0,0,0,0,2.56379,4.30263,4.15335,0.0972822,0.00028218,0.00028218
5,16.9501,3.19409,4.14426,4.36077,0,0,0,0,2.55776,4.29498,4.15079,0.0963683,0.00036832,0.00036832
6,20.4962,3.22654,4.13598,4.46378,0,0,0,0,2.55091,4.28823,4.14817,0.0954505,0.0004505,0.0004505
7,24.1387,3.03917,4.27872,4.38279,0,0,0,0,2.54247,4.27871,4.1446,0.0945287,0.00052872,0.00052872
8,27.8833,3.38137,4.61168,4.31386,0,0,0,0,2.53351,4.27011,4.141,0.093603,0.00060298,0.00060298
9,31.9129,3.20044,4.21633,4.41039,0,0,0,0,2.52514,4.26181,4.13771,0.0926733,0.00067328,0.00067328
10,35.8876,2.6583,4.5323,4.30013,0,0,0,0,2.51636,4.25333,4.13363,0.0917396,0.00073962,0.00073962
11,39.3584,3.37845,4.26746,4.48387,0,0,0,0,2.50716,4.24557,4.13002,0.090802,0.000802,0.000802
12,42.7715,3.42228,4.22352,4.24885,0,0,0,0,2.49891,4.23725,4.1265,0.0898604,0.00086042,0.00086042
13,46.4401,3.04131,4.08963,4.20624,0,0,0,0,2.48928,4.22935,4.1226,0.0889149,0.00091488,0.00091488
14,50.0972,3.30518,4.41797,4.25825,0,0,0,0,2.48379,4.22171,4.1195,0.0879654,0.00096538,0.00096538
15,53.6849,3.20352,4.41531,4.26004,0,0,0,0,2.47619,4.21476,4.11607,0.0870119,0.00101192,0.00101192
16,57.3588,3.23406,4.20131,4.38901,0,0,0,0,2.46953,4.2086,4.11384,0.0860545,0.0010545,0.0010545
17,61.1329,3.13997,4.25446,4.26003,0,0,0,0,2.46075,4.20108,4.11014,0.0850931,0.00109312,0.00109312
18,64.7274,3.06814,4.25399,4.47184,0,0,0,0,2.46075,4.20108,4.11014,0.0841278,0.00112778,0.00112778
19,68.1613,3.21051,4.1096,4.28979,0,0,0,0,2.45246,4.19506,4.10678,0.0831585,0.00115848,0.00115848
20,71.7407,3.3911,4.14425,4.23095,0,0,0,0,2.45246,4.19506,4.10678,0.0821852,0.00118522,0.00118522
21,75.5273,3.16452,4.0285,4.24772,0,0,0,0,2.44206,4.18705,4.10214,0.081208,0.001208,0.001208
22,78.9948,3.50224,4.21434,4.24024,0,0,0,0,2.44206,4.18705,4.10214,0.0802268,0.00122682,0.00122682
23,82.4182,3.05249,4.51323,4.18504,0,0,0,0,2.4308,4.17803,4.09692,0.0792417,0.00124168,0.00124168
24,86.0459,2.5446,4.20493,4.2664,0,0,0,0,2.4308,4.17803,4.09692,0.0782526,0.00125258,0.00125258
25,89.4837,3.25751,4.14451,4.2763,0,0,0,0,2.42005,4.17005,4.09158,0.0772595,0.00125952,0.00125952
26,92.9432,3.05963,4.39609,4.26691,0,0,0,0,2.42005,4.17005,4.09158,0.0762625,0.0012625,0.0012625
27,96.6052,3.54025,4.0105,4.27197,0,0,0,0,2.41157,4.16275,4.08744,0.0752615,0.00126152,0.00126152
28,100.143,3.24835,4.12751,4.21141,0,0,0,0,2.41157,4.16275,4.08744,0.0742566,0.00125658,0.00125658
29,103.827,2.73412,4.19805,4.23431,0,0,0,0,2.40262,4.15536,4.08324,0.0732477,0.00124768,0.00124768
30,107.399,3.37468,4.35284,4.28535,0,0,0,0,2.40262,4.15536,4.08324,0.0722348,0.00123482,0.00123482
31,110.772,3.30578,4.11942,4.15623,0,0,0,0,2.39433,4.14829,4.07929,0.071218,0.001218,0.001218
32,114.171,3.31752,4.2052,4.27238,0,0,0,0,2.39433,4.14829,4.07929,0.0701972,0.00119722,0.00119722
33,117.639,3.59102,4.47201,4.18494,0,0,0,0,2.3867,4.14112,4.07585,0.0691725,0.00117248,0.00117248
34,121.022,2.86887,4.30005,4.30021,0,0,0,0,2.3867,4.14112,4.07585,0.0681438,0.00114378,0.00114378
35,124.471,3.26494,4.14491,4.2156,0,0,0,0,2.38018,4.13545,4.0728,0.0671111,0.00111112,0.00111112
36,127.969,3.04985,4.37783,4.26137,0,0,0,0,2.38018,4.13545,4.0728,0.0660745,0.0010745,0.0010745
37,131.659,3.62438,3.95228,4.23024,0,0,0,0,2.37359,4.13007,4.06999,0.0650339,0.00103392,0.00103392
38,135.083,3.62711,4.2537,4.21509,0,0,0,0,2.37359,4.13007,4.06999,0.0639894,0.00098938,0.00098938
39,138.615,2.91661,4.07341,4.28213,0,0,0,0,2.36789,4.12496,4.06746,0.0629409,0.00094088,0.00094088
40,141.984,2.99414,4.06101,4.18223,0,0,0,0,2.36789,4.12496,4.06746,0.0618884,0.00088842,0.00088842
41,145.439,2.76109,4.97883,4.31132,0,0,0,0,2.36242,4.12081,4.06508,0.060832,0.000832,0.000832
42,149.076,3.15556,4.60811,4.22918,0,0,0,0,2.36242,4.12081,4.06508,0.0597716,0.00077162,0.00077162
43,152.757,3.17231,4.57303,4.25453,0,0,0,0,2.35774,4.11795,4.06312,0.0587073,0.00070728,0.00070728
44,156.382,3.04186,4.89793,4.29259,0,0,0,0,2.35774,4.11795,4.06312,0.057639,0.00063898,0.00063898
45,159.969,2.8359,4.89135,4.2896,0,0,0,0,2.35358,4.1158,4.06148,0.0565667,0.00056672,0.00056672
