epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.84632,1.76184,5.85429,1.1464,0,0,0,0,1.84481,5.21648,1.25577,0,0,0
2,9.32767,1.29395,5.24885,1.00611,0,0,0,0,1.841,5.17514,1.24769,1.22525e-05,1.22525e-05,1.22525e-05
3,13.6903,1.49675,5.33177,1.05233,0,0,0,0,1.75572,5.16465,1.22623,2.401e-05,2.401e-05,2.401e-05
4,18.7448,1.35002,5.20321,0.98373,0,0,0,0,1.59768,5.16597,1.1899,3.52725e-05,3.52725e-05,3.52725e-05
5,23.3881,1.19723,5.23157,1.0111,0,0,0,0,1.44789,5.04969,1.13583,4.604e-05,4.604e-05,4.604e-05
6,28.0953,1.20208,5.14405,0.9495,0,0,0,0,1.39627,4.98788,1.07197,5.63125e-05,5.63125e-05,5.63125e-05
7,32.9269,1.10939,4.94131,0.92662,0,0,0,0,1.34405,4.79601,1.03342,6.609e-05,6.609e-05,6.609e-05
8,37.5894,0.90858,4.71341,0.90198,0,0,0,0,1.20255,4.79021,0.96742,7.53725e-05,7.53725e-05,7.53725e-05
9,42.082,0.89932,4.51296,0.89153,0,0,0,0,1.11595,4.78962,0.91895,8.416e-05,8.416e-05,8.416e-05
10,46.5523,1.08693,4.84461,0.8762,0,0,0,0,1.05661,4.70589,0.87788,9.24525e-05,9.24525e-05,9.24525e-05
11,51.0313,0.85284,4.31787,0.9116,0,0,0,0,1.01156,4.65468,0.85286,0.00010025,0.00010025,0.00010025
12,55.4842,0.98913,4.59532,0.85281,0,0,0,0,1.02703,4.59793,0.8427,0.000107553,0.000107553,0.000107553
13,60.1334,1.10487,4.37213,0.86566,0,0,0,0,0.99212,4.58173,0.84468,0.00011436,0.00011436,0.00011436
14,64.624,0.9651,4.07297,0.92717,0,0,0,0,0.92739,4.55171,0.83426,0.000120672,0.000120672,0.000120672
15,69.1924,0.8031,4.31895,0.88335,0.00213,0.16667,0.00182,0.00055,0.88047,4.52103,0.81456,0.00012649,0.00012649,0.00012649
16,75.5006,0.85401,3.92877,0.85329,0.00212,0.16667,0.00159,0.0008,0.85941,4.49945,0.80369,0.000131813,0.000131813,0.000131813
17,80.3975,1.01689,3.955,0.89275,0.00212,0.16667,0.00159,0.0008,0.81195,4.50944,0.79309,0.00013664,0.00013664,0.00013664
18,85.3427,1.04263,3.54053,0.88995,0.00212,0.16667,0.00159,0.0008,0.81195,4.50944,0.79309,0.000140972,0.000140972,0.000140972
19,90.0659,0.891,3.58078,0.80363,0.00405,0.33333,0.00442,0.00044,0.90327,4.41499,0.81361,0.00014481,0.00014481,0.00014481
20,94.5655,0.9109,3.22137,0.81365,0.00405,0.33333,0.00442,0.00044,0.90327,4.41499,0.81361,0.000148153,0.000148153,0.000148153
21,99.0455,0.90348,3.25803,0.87223,0.00394,0.33333,0.00416,0.00058,0.87337,4.42404,0.80472,0.000151,0.000151,0.000151
22,103.459,0.98006,3.30158,0.83156,0.00394,0.33333,0.00416,0.00058,0.87337,4.42404,0.80472,0.000153353,0.000153353,0.000153353
23,107.881,0.87144,2.99838,0.85968,0.00402,0.33333,0.00412,0.00076,0.8215,4.46842,0.79458,0.00015521,0.00015521,0.00015521
24,112.288,0.96965,3.29633,0.83862,0.00402,0.33333,0.00412,0.00076,0.8215,4.46842,0.79458,0.000156573,0.000156573,0.000156573
25,116.752,0.94307,2.7879,0.8497,0.00395,0.33333,0.00759,0.0016,0.88085,4.40945,0.80783,0.00015744,0.00015744,0.00015744
26,121.137,0.85749,3.12204,0.8498,0.00395,0.33333,0.00759,0.0016,0.88085,4.40945,0.80783,0.000157812,0.000157812,0.000157812
27,125.668,0.95308,3.2291,0.81078,0.00377,0.33333,0.00729,0.00202,0.89719,4.42585,0.82217,0.00015769,0.00015769,0.00015769
28,130.082,0.74676,2.1331,0.80854,0.00377,0.33333,0.00729,0.00202,0.89719,4.42585,0.82217,0.000157072,0.000157072,0.000157072
