epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.50849,1.41093,3.87395,1.21959,0.00787,0.34476,0.14393,0.07975,1.32165,3.9967,1.02367,0.0001625,0.0001625,0.0001625
2,9.37875,1.39966,2.89647,1.13714,0.01367,0.63374,0.2558,0.12965,1.29301,3.84825,1.01204,0.000330818,0.000330818,0.000330818
3,12.352,1.32017,2.2937,1.1341,0.01339,0.6528,0.23551,0.12718,1.22192,3.70504,0.99004,0.000492205,0.000492205,0.000492205
4,17.4459,1.32156,1.9455,1.11747,0.01658,0.7708,0.31964,0.17866,1.35144,3.63213,1.0101,0.000646662,0.000646662,0.000646662
