epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5848,3.1261,4.52534,4.30415,0.0034,0.66667,0.00455,0.00137,2.92799,4.25479,4.15853,0,0,0
2,48.993,3.04302,4.65873,4.34106,0.00338,0.66667,0.00463,0.00139,2.92776,4.25359,4.15813,1.9604e-05,1.9604e-05,1.9604e-05
3,71.3734,3.11295,4.67667,4.32919,0.00343,0.66667,0.00491,0.00147,2.92747,4.25311,4.1577,3.8416e-05,3.8416e-05,3.8416e-05
4,93.9046,2.86925,4.58904,4.34181,0.00344,0.66667,0.00539,0.00162,2.92714,4.25262,4.15724,5.6436e-05,5.6436e-05,5.6436e-05
5,116.295,2.78602,4.67619,4.29776,0.00343,0.66667,0.00596,0.00184,2.92686,4.25082,4.15679,7.3664e-05,7.3664e-05,7.3664e-05
6,140.714,2.91245,4.6779,4.28422,0.00344,0.66667,0.00664,0.00202,2.92663,4.25022,4.15636,9.01e-05,9.01e-05,9.01e-05
7,164.632,2.814,4.42235,4.23244,0.00343,0.66667,0.0074,0.00214,2.92642,4.24975,4.15592,0.000105744,0.000105744,0.000105744
8,190.187,2.81767,4.58272,4.23783,0.00345,0.66667,0.00783,0.00224,2.92624,4.24813,4.1555,0.000120596,0.000120596,0.000120596
9,215.346,2.85824,4.46334,4.18539,0.00342,0.66667,0.00792,0.00224,2.92601,4.24761,4.15504,0.000134656,0.000134656,0.000134656
10,237.978,2.73189,4.59119,4.1736,0.00342,0.66667,0.00767,0.0023,2.92555,4.24717,4.15451,0.000147924,0.000147924,0.000147924
11,260.49,2.59625,4.39992,4.21609,0.00342,0.66667,0.00767,0.00231,2.92482,4.24567,4.15386,0.0001604,0.0001604,0.0001604
12,283.981,2.71158,4.48233,4.14874,0.00425,0.83333,0.01077,0.00288,2.92384,4.245,4.15305,0.000172084,0.000172084,0.000172084
13,305.463,2.46595,4.308,4.14559,0.00422,0.83333,0.01062,0.00276,2.92275,4.24367,4.15213,0.000182976,0.000182976,0.000182976
14,326.653,2.60201,4.34757,4.17585,0.0043,0.83333,0.01043,0.00296,2.92175,4.24223,4.15117,0.000193076,0.000193076,0.000193076
15,348.27,2.36238,4.24363,4.18568,0.00427,0.83333,0.01191,0.00323,2.9212,4.24116,4.15013,0.000202384,0.000202384,0.000202384
16,370.228,2.42678,4.03678,4.13553,0.00426,0.83333,0.0122,0.00345,2.92086,4.23909,4.14903,0.0002109,0.0002109,0.0002109
17,391.491,2.27814,4.05612,4.10292,0.00426,0.83333,0.01157,0.00343,2.92128,4.23797,4.14824,0.000218624,0.000218624,0.000218624
18,412.311,2.31797,3.85475,4.04264,0.00428,0.83333,0.01171,0.00338,2.92052,4.23639,4.14697,0.000225556,0.000225556,0.000225556
19,433.877,2.33343,3.96406,4.03322,0.00423,0.83333,0.01165,0.00347,2.91824,4.23523,4.14506,0.000231696,0.000231696,0.000231696
20,455.095,2.33437,3.60903,3.98809,0.00426,0.83333,0.0117,0.00369,2.91523,4.23435,4.14284,0.000237044,0.000237044,0.000237044
21,476.229,2.07723,3.54745,3.91302,0.00427,0.83333,0.0119,0.00354,2.91357,4.23305,4.14105,0.0002416,0.0002416,0.0002416
22,499.647,2.0966,3.57764,3.86501,0.00427,0.83333,0.01175,0.0035,2.9154,4.23204,4.14007,0.000245364,0.000245364,0.000245364
23,521.198,2.25385,3.36692,3.83675,0.00341,0.66667,0.01113,0.00344,2.92104,4.2308,4.14023,0.000248336,0.000248336,0.000248336
24,542.145,2.25574,3.27117,3.91398,0.00338,0.66667,0.01108,0.00364,2.92548,4.23066,4.14046,0.000250516,0.000250516,0.000250516
25,563.482,2.21374,3.1772,3.69962,0.00428,0.83333,0.01205,0.00378,2.9232,4.22912,4.13737,0.000251904,0.000251904,0.000251904
26,584.548,2.10949,3.06888,3.80769,0.00343,0.66667,0.01139,0.00368,2.91596,4.22823,4.13313,0.0002525,0.0002525,0.0002525
27,605.194,2.19362,3.05786,3.85443,0.00433,0.83333,0.01235,0.00387,2.91728,4.22684,4.1311,0.000252304,0.000252304,0.000252304
28,626.253,2.13913,3.0554,3.73984,0.00431,0.83333,0.01235,0.00366,2.92419,4.22603,4.13003,0.000251316,0.000251316,0.000251316
29,647.018,2.03215,3.06292,3.63721,0.00422,0.83333,0.01203,0.00355,2.92337,4.22399,4.12603,0.000249536,0.000249536,0.000249536
30,668.367,2.12875,2.99747,3.60074,0.00423,0.83333,0.01217,0.00349,2.92099,4.22242,4.12108,0.000246964,0.000246964,0.000246964
31,689.638,2.15905,2.80928,3.66876,0.00341,0.66667,0.01185,0.0038,2.91269,4.22041,4.11429,0.0002436,0.0002436,0.0002436
32,710.717,2.01906,2.73385,3.45852,0.00342,0.66667,0.01166,0.00374,2.89699,4.21876,4.10344,0.000239444,0.000239444,0.000239444
33,731.158,1.89381,2.52155,3.42974,0.00341,0.66667,0.01139,0.00366,2.87437,4.21653,4.0887,0.000234496,0.000234496,0.000234496
34,754.269,1.74974,2.47047,3.37116,0.0042,0.83333,0.01192,0.00371,2.85859,4.21232,4.07608,0.000228756,0.000228756,0.000228756
35,781.17,1.92682,2.80988,3.49523,0.00339,0.66667,0.01152,0.00372,2.87141,4.20437,4.07918,0.000222224,0.000222224,0.000222224
36,810.055,1.86171,2.49325,3.43739,0.0034,0.66667,0.01143,0.00342,2.87939,4.19474,4.08075,0.0002149,0.0002149,0.0002149
37,836.725,1.84579,2.5557,3.31301,0.00343,0.66667,0.01126,0.00368,2.87549,4.18817,4.07601,0.000206784,0.000206784,0.000206784
38,861.411,1.75619,2.41597,3.39632,0.00338,0.66667,0.01117,0.00366,2.8704,4.18573,4.07086,0.000197876,0.000197876,0.000197876
39,885.689,2.05527,2.40667,3.43826,0.00422,0.83333,0.01169,0.00372,2.85584,4.18725,4.06073,0.000188176,0.000188176,0.000188176
40,908.38,1.80198,2.2905,3.23324,0.00419,0.83333,0.01182,0.00354,2.83894,4.18677,4.04971,0.000177684,0.000177684,0.000177684
41,929.682,1.67316,3.45986,3.14433,0.00336,0.66667,0.01147,0.00402,2.8285,4.18344,4.04147,0.0001664,0.0001664,0.0001664
42,956.367,1.43422,3.45377,2.85953,0.00336,0.66667,0.01129,0.00368,2.82488,4.18748,4.0349,0.000154324,0.000154324,0.000154324
43,980.56,1.43033,3.14505,3.06617,0.00337,0.66667,0.01134,0.00369,2.82694,4.18652,4.03323,0.000141456,0.000141456,0.000141456
44,1004.69,1.47603,3.40488,3.00998,0.00419,0.83333,0.0117,0.00369,2.82866,4.17888,4.03135,0.000127796,0.000127796,0.000127796
45,1028.1,1.54548,3.31403,3.0449,0.00419,0.83333,0.0118,0.00372,2.83256,4.17696,4.03161,0.000113344,0.000113344,0.000113344
46,1051.25,1.33477,3.01687,2.87756,0.00418,0.83333,0.01169,0.00368,2.83349,4.17594,4.03236,9.81e-05,9.81e-05,9.81e-05
47,1074.87,1.37227,2.97873,2.962,0.00419,0.83333,0.01182,0.00371,2.83554,4.17477,4.03377,8.2064e-05,8.2064e-05,8.2064e-05
48,1095.73,1.30792,3.25467,2.80686,0.00423,0.83333,0.01184,0.00374,2.83356,4.17505,4.02948,6.5236e-05,6.5236e-05,6.5236e-05
