epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.30765,6.90114,39.24,4.20068,0,0,0,0,5.87396,9.85973,4.1596,0,0,0
2,10.0786,6.85656,28.1802,4.20475,0,0,0,0,5.87419,9.86188,4.1603,1.22525e-05,1.22525e-05,1.22525e-05
3,15.4624,6.25123,22.614,4.1695,0,0,0,0,5.87443,9.86418,4.16097,2.401e-05,2.401e-05,2.401e-05
4,20.7616,6.2626,19.9439,4.20351,0,0,0,0,5.87467,9.86595,4.16165,3.52725e-05,3.52725e-05,3.52725e-05
5,25.984,6.29494,16.4247,4.18374,0,0,0,0,5.87489,9.86777,4.16227,4.604e-05,4.604e-05,4.604e-05
6,31.2335,6.83708,52.9799,4.22488,0,0,0,0,5.8751,9.86953,4.16289,5.63125e-05,5.63125e-05,5.63125e-05
7,36.8343,6.28427,21.9698,4.19028,0,0,0,0,5.87534,9.87339,4.16353,6.609e-05,6.609e-05,6.609e-05
8,42.287,6.078,12.8264,4.1801,0,0,0,0,5.87556,9.87509,4.16405,7.53725e-05,7.53725e-05,7.53725e-05
9,47.4236,6.53613,19.7673,4.19799,0,0,0,0,5.87576,9.8765,4.16463,8.416e-05,8.416e-05,8.416e-05
10,52.6311,6.22304,35.0577,4.07804,0,0,0,0,5.87597,9.87621,4.16525,9.24525e-05,9.24525e-05,9.24525e-05
11,57.821,6.39503,18.0723,4.16763,0,0,0,0,5.87617,9.87997,4.16584,0.00010025,0.00010025,0.00010025
12,63.1431,6.5627,30.0225,4.09961,0,0,0,0,5.87636,9.88211,4.16648,0.000107553,0.000107553,0.000107553
13,68.5483,6.52823,26.3255,4.12387,0,0,0,0,5.87654,9.88628,4.16712,0.00011436,0.00011436,0.00011436
14,73.7322,6.22018,17.1238,4.10478,0,0,0,0,5.8767,9.88853,4.16777,0.000120672,0.000120672,0.000120672
15,79.16,6.20964,14.6107,4.1715,0,0,0,0,5.87685,9.89081,4.16839,0.00012649,0.00012649,0.00012649
16,84.659,6.37283,18.1744,4.15536,0,0,0,0,5.87701,9.89229,4.169,0.000131813,0.000131813,0.000131813
17,90.0562,5.75279,24.331,4.11172,0,0,0,0,5.87715,9.89674,4.16961,0.00013664,0.00013664,0.00013664
18,95.3288,6.3091,28.9,4.11422,0,0,0,0,5.87715,9.89674,4.16961,0.000140972,0.000140972,0.000140972
19,100.851,6.77233,41.1108,4.02947,0,0,0,0,5.87742,9.90244,4.17093,0.00014481,0.00014481,0.00014481
20,105.947,6.49226,25.1659,3.97616,0,0,0,0,5.87742,9.90244,4.17093,0.000148153,0.000148153,0.000148153
21,111.111,6.92085,40.3784,4.02442,0,0,0,0,5.87762,9.91032,4.17223,0.000151,0.000151,0.000151
22,116.464,6.34258,24.6917,3.99997,0,0,0,0,5.87762,9.91032,4.17223,0.000153353,0.000153353,0.000153353
23,121.701,6.14593,17.9743,4.09264,0,0,0,0,5.87775,9.91816,4.17356,0.00015521,0.00015521,0.00015521
24,126.87,5.55284,18.0916,4.17467,0,0,0,0,5.87775,9.91816,4.17356,0.000156573,0.000156573,0.000156573
25,132.009,6.53748,24.7009,4.07061,0,0,0,0,5.87792,9.92585,4.17495,0.00015744,0.00015744,0.00015744
26,137.124,6.93416,50.7125,3.92825,0,0,0,0,5.87792,9.92585,4.17495,0.000157812,0.000157812,0.000157812
27,142.506,6.78127,59.4313,4.01054,0,0,0,0,5.87801,9.93455,4.17621,0.00015769,0.00015769,0.00015769
28,147.589,6.56266,45.2195,3.75619,0,0,0,0,5.87801,9.93455,4.17621,0.000157072,0.000157072,0.000157072
29,152.693,6.65243,28.8864,3.97038,0,0,0,0,5.87806,9.94485,4.17772,0.00015596,0.00015596,0.00015596
30,157.805,6.08625,17.2011,3.91581,0,0,0,0,5.87806,9.94485,4.17772,0.000154352,0.000154352,0.000154352
31,163.096,5.50995,24.5295,4.03718,0,0,0,0,5.87804,9.95662,4.17929,0.00015225,0.00015225,0.00015225
32,168.357,5.25128,18.9558,4.03177,0,0,0,0,5.87804,9.95662,4.17929,0.000149652,0.000149652,0.000149652
33,173.556,6.45598,26.4782,3.76541,0,0,0,0,5.87798,9.96474,4.18095,0.00014656,0.00014656,0.00014656
34,178.704,6.79484,42.3537,3.92066,0,0,0,0,5.87798,9.96474,4.18095,0.000142972,0.000142972,0.000142972
35,183.921,5.41005,12.7804,3.94281,0,0,0,0,5.87786,9.97943,4.1834,0.00013889,0.00013889,0.00013889
36,189.234,6.3163,19.9069,3.94691,0,0,0,0,5.87786,9.97943,4.1834,0.000134313,0.000134313,0.000134313
37,194.863,6.74054,34.6011,3.80618,0,0,0,0,5.87772,9.99303,4.18465,0.00012924,0.00012924,0.00012924
38,200.143,5.51983,18.8005,3.90161,0,0,0,0,5.87772,9.99303,4.18465,0.000123672,0.000123672,0.000123672
39,205.717,6.1941,17.7536,3.78996,0,0,0,0,5.87753,10.0105,4.18664,0.00011761,0.00011761,0.00011761
40,211.208,6.49773,18.2017,4.0291,0,0,0,0,5.87753,10.0105,4.18664,0.000111052,0.000111052,0.000111052
41,216.82,4.13053,23.8497,3.98403,0,0,0,0,5.87738,10.0279,4.18857,0.000104,0.000104,0.000104
42,222.24,5.48577,33.083,4.06393,0,0,0,0,5.87738,10.0279,4.18857,9.64525e-05,9.64525e-05,9.64525e-05
43,227.736,5.1402,19.7943,3.8221,0,0,0,0,5.87723,10.0426,4.19028,8.841e-05,8.841e-05,8.841e-05
44,232.964,6.28231,26.798,3.81001,0,0,0,0,5.87723,10.0426,4.19028,7.98725e-05,7.98725e-05,7.98725e-05
45,238.151,4.14608,29.2502,3.80246,0,0,0,0,5.87708,10.0554,4.1919,7.084e-05,7.084e-05,7.084e-05
46,243.316,4.49684,21.9329,3.64207,0,0,0,0,5.87708,10.0554,4.1919,6.13125e-05,6.13125e-05,6.13125e-05
47,248.628,3.85734,23.1374,3.74012,0,0,0,0,5.877,10.0686,4.19345,5.129e-05,5.129e-05,5.129e-05
48,253.74,5.46061,24.056,3.97042,0,0,0,0,5.877,10.0686,4.19345,4.07725e-05,4.07725e-05,4.07725e-05
49,258.846,5.24277,35.6979,3.85091,0,0,0,0,5.87691,10.0824,4.1949,2.976e-05,2.976e-05,2.976e-05
