epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.897,1.07879,3.10045,1.27398,0.00333,1,0.06283,0.04927,0.78313,3.08665,0.998,0.1,0,0
2,6.99938,1.23427,3.27866,1.26969,0.00333,1,0.06037,0.04763,0.78107,3.08683,0.99383,0.099098,9.802e-05,9.802e-05
3,10.0728,1.06728,3.10412,1.18161,0.00333,1,0.07776,0.06332,0.79121,3.06816,0.99321,0.0981921,0.00019208,0.00019208
4,13.1137,1.02448,3.18816,1.20404,0.00333,1,0.08396,0.06519,0.81514,3.01556,0.97991,0.0972822,0.00028218,0.00028218
5,16.2852,0.95669,3.09668,1.10866,0.00333,1,0.09857,0.07379,0.84796,2.99373,0.95703,0.0963683,0.00036832,0.00036832
6,19.9689,1.0986,3.22037,1.19595,0.00333,1,0.10553,0.08756,0.83587,3.0124,0.95653,0.0954505,0.0004505,0.0004505
7,23.6218,0.75485,3.10926,1.07323,0.00333,1,0.14341,0.11476,0.87912,2.96993,0.96106,0.0945287,0.00052872,0.00052872
8,27.2437,0.93138,3.06749,1.04472,0.00333,1,0.16294,0.13035,0.89319,2.87244,0.96082,0.093603,0.00060298,0.00060298
9,30.6237,0.68091,2.8847,1.0528,0.00333,1,0.20278,0.15425,0.83568,2.87511,0.95954,0.0926733,0.00067328,0.00067328
10,34.0541,0.77776,2.96067,1.0045,0.00333,1,0.356,0.24006,0.81311,2.78721,0.95107,0.0917396,0.00073962,0.00073962
11,37.486,0.62507,2.91964,0.95369,0.00333,1,0.53333,0.39016,0.8037,2.75396,0.9512,0.090802,0.000802,0.000802
12,40.8762,0.67612,2.91392,1.04327,0.00333,1,0.49048,0.43207,0.774,2.74451,0.9512,0.0898604,0.00086042,0.00086042
13,44.5107,0.55213,2.72481,0.96783,0.00333,1,0.47633,0.42217,0.77531,2.72523,0.95416,0.0889149,0.00091488,0.00091488
14,48.0934,0.7631,2.85748,1.05442,0.00333,1,0.47333,0.42304,0.75912,2.71423,0.95011,0.0879654,0.00096538,0.00096538
15,51.5045,0.66717,2.82601,1.02437,0.00333,1,0.48,0.42474,0.72726,2.69404,0.93592,0.0870119,0.00101192,0.00101192
16,54.9703,0.70525,2.7914,1.05306,0.00333,1,0.863,0.71765,0.70312,2.67462,0.92738,0.0860545,0.0010545,0.0010545
17,58.5951,0.46868,2.58892,0.89909,0.00333,1,0.863,0.75396,0.63453,2.6714,0.91639,0.0850931,0.00109312,0.00109312
18,62.0618,0.40149,2.56959,0.87153,0.00333,1,0.863,0.75396,0.63453,2.6714,0.91639,0.0841278,0.00112778,0.00112778
19,65.412,0.60832,2.56262,1.01456,0.00333,1,0.863,0.77372,0.60662,2.66059,0.92759,0.0831585,0.00115848,0.00115848
20,68.9763,0.51409,2.43893,0.88588,0.00333,1,0.863,0.77372,0.60662,2.66059,0.92759,0.0821852,0.00118522,0.00118522
21,72.7039,0.56239,2.39677,0.88846,0.00333,1,0.863,0.75694,0.60533,2.63208,0.89938,0.081208,0.001208,0.001208
22,76.1133,0.79378,2.40589,1.07461,0.00333,1,0.863,0.75694,0.60533,2.63208,0.89938,0.0802268,0.00122682,0.00122682
23,79.4897,0.50578,2.68218,0.83618,0.00333,1,0.995,0.86254,0.60554,2.60515,0.89356,0.0792417,0.00124168,0.00124168
24,82.9818,0.52469,2.3536,0.9446,0.00333,1,0.995,0.86254,0.60554,2.60515,0.89356,0.0782526,0.00125258,0.00125258
25,86.4079,0.43927,2.25336,0.94891,0.00333,1,0.995,0.86254,0.61963,2.55606,0.897,0.0772595,0.00125952,0.00125952
26,89.7887,0.4226,2.33921,0.89851,0.00333,1,0.995,0.86254,0.61963,2.55606,0.897,0.0762625,0.0012625,0.0012625
27,93.4383,0.51993,2.22048,0.89948,0.00333,1,0.995,0.86254,0.62877,2.53123,0.90206,0.0752615,0.00126152,0.00126152
28,96.9996,0.48651,2.11056,0.85691,0.00333,1,0.995,0.86254,0.62877,2.53123,0.90206,0.0742566,0.00125658,0.00125658
29,100.621,0.52978,2.1852,0.98105,0.00333,1,0.995,0.86254,0.60113,2.44728,0.8899,0.0732477,0.00124768,0.00124768
30,104.075,0.75317,2.25414,0.98542,0.00333,1,0.995,0.86254,0.60113,2.44728,0.8899,0.0722348,0.00123482,0.00123482
31,107.511,0.61177,2.04107,0.921,0.00333,1,0.995,0.86254,0.62688,2.40162,0.88177,0.071218,0.001218,0.001218
32,110.903,0.47429,1.86903,0.82378,0.00333,1,0.995,0.86254,0.62688,2.40162,0.88177,0.0701972,0.00119722,0.00119722
33,114.261,0.8233,2.08334,1.16021,0.01534,1,0.995,0.86254,0.60333,2.34684,0.86941,0.0691725,0.00117248,0.00117248
34,117.64,0.51424,1.86819,0.88891,0.01534,1,0.995,0.86254,0.60333,2.34684,0.86941,0.0681438,0.00114378,0.00114378
35,121.101,0.54918,1.78559,0.90368,0.81515,1,0.995,0.86254,0.55812,2.28328,0.86057,0.0671111,0.00111112,0.00111112
36,124.56,0.47892,1.75407,0.80372,0.81515,1,0.995,0.86254,0.55812,2.28328,0.86057,0.0660745,0.0010745,0.0010745
37,128.191,0.47205,1.70113,0.82848,0.95331,1,0.995,0.86254,0.55272,2.21007,0.86018,0.0650339,0.00103392,0.00103392
38,131.644,0.55529,1.60886,0.93226,0.95331,1,0.995,0.86254,0.55272,2.21007,0.86018,0.0639894,0.00098938,0.00098938
39,135.133,0.48799,1.55736,0.87648,1,0.97842,0.995,0.89607,0.54313,2.14523,0.85472,0.0629409,0.00094088,0.00094088
40,138.476,0.3783,1.43722,0.85597,1,0.97842,0.995,0.89607,0.54313,2.14523,0.85472,0.0618884,0.00088842,0.00088842
41,141.968,0.35579,1.79001,0.79932,0.96321,1,0.995,0.92907,0.5096,2.11306,0.83725,0.060832,0.000832,0.000832
42,145.557,0.32999,1.62113,0.74005,0.96321,1,0.995,0.92907,0.5096,2.11306,0.83725,0.0597716,0.00077162,0.00077162
43,149.268,0.3458,1.61319,0.8066,0.91032,1,0.995,0.96204,0.48468,2.04984,0.81695,0.0587073,0.00070728,0.00070728
44,153.09,0.45486,1.48602,0.88575,0.91032,1,0.995,0.96204,0.48468,2.04984,0.81695,0.057639,0.00063898,0.00063898
45,156.63,0.3552,1.56523,0.76635,0.91515,1,0.995,0.92907,0.47773,1.97204,0.80267,0.0565667,0.00056672,0.00056672
46,160.112,0.29188,1.44302,0.696,0.91515,1,0.995,0.92907,0.47773,1.97204,0.80267,0.0554905,0.0004905,0.0004905
47,163.473,0.37804,1.48406,0.81624,0.92637,1,0.995,0.89607,0.48825,1.89719,0.80511,0.0544103,0.00041032,0.00041032
48,166.883,0.31173,1.44889,0.90485,0.92637,1,0.995,0.89607,0.48825,1.89719,0.80511,0.0533262,0.00032618,0.00032618
49,170.295,0.3208,1.35229,0.75818,0.93196,1,0.995,0.89607,0.51173,1.84941,0.8053,0.0522381,0.00023808,0.00023808
50,173.783,0.34978,1.35197,0.76784,0.93196,1,0.995,0.89607,0.51173,1.84941,0.8053,0.051146,0.00014602,0.00014602
