epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.86685,0.43161,0.78685,0.95034,0.97551,1,0.995,0.88507,0.52705,1.30746,0.7926,0.1,0,0
2,6.94725,0.47942,0.75078,0.89107,0.97705,1,0.995,0.88507,0.51974,1.2754,0.78986,0.0990986,9.85857e-05,9.85857e-05
3,9.99486,0.26812,0.63996,0.78639,0.97709,1,0.995,0.88507,0.50895,1.25139,0.78925,0.0981943,0.000194343,0.000194343
4,13.0026,0.31639,0.65206,0.82159,0.97619,1,0.995,0.88507,0.49002,1.20879,0.78214,0.0972873,0.000287271,0.000287271
5,16.1925,0.25875,0.64987,0.76869,0.97562,1,0.995,0.88507,0.49298,1.16512,0.77649,0.0963774,0.000377371,0.000377371
6,19.6946,0.30522,0.67511,0.80161,0.97622,1,0.995,0.88507,0.45592,1.12073,0.77032,0.0954646,0.000464643,0.000464643
7,23.5301,0.29031,0.73343,0.84548,0.97776,1,0.995,0.88507,0.47203,1.06013,0.76948,0.0945491,0.000549086,0.000549086
8,27.1988,0.30365,0.66439,0.79345,0.98019,1,0.995,0.88507,0.47531,0.99405,0.76493,0.0936307,0.0006307,0.0006307
9,30.6099,0.30891,0.63274,0.86508,0.98276,1,0.995,0.88507,0.48091,0.90558,0.77048,0.0927095,0.000709486,0.000709486
10,34.0339,0.19761,0.66766,0.76755,0.98253,1,0.995,0.88508,0.46755,0.85745,0.76745,0.0917854,0.000785443,0.000785443
11,37.4602,0.36038,0.61305,0.85884,0.98307,1,0.995,0.92904,0.4542,0.79856,0.75747,0.0908586,0.000858571,0.000858571
12,40.9256,0.26924,0.58749,0.84373,0.98392,1,0.995,0.88509,0.48655,0.75553,0.76483,0.0899289,0.000928871,0.000928871
13,44.6241,0.29558,0.60639,0.84767,0.98495,1,0.995,0.8851,0.53297,0.67296,0.77812,0.0889963,0.000996343,0.000996343
14,48.185,0.4656,0.75169,0.94605,0.98538,1,0.995,0.8851,0.56318,0.67725,0.78194,0.088061,0.00106099,0.00106099
15,51.5719,0.41904,0.61632,1.00107,0.98605,1,0.995,0.88511,0.58513,0.62975,0.7855,0.0871228,0.0011228,0.0011228
16,55.026,0.40207,0.64053,0.90996,0.98595,1,0.995,0.88512,0.59036,0.64526,0.78547,0.0861818,0.00118179,0.00118179
17,58.6384,0.32668,0.5871,0.86087,0.98595,1,0.995,0.85156,0.57737,0.63042,0.78671,0.0852379,0.00123794,0.00123794
18,61.9917,0.23157,0.57586,0.82857,0.98595,1,0.995,0.85156,0.57737,0.63042,0.78671,0.0842913,0.00129127,0.00129127
19,65.457,0.39255,0.59153,0.91101,0.98609,1,0.995,0.88513,0.61644,0.68676,0.81032,0.0833418,0.00134177,0.00134177
20,68.9493,0.27921,0.56074,0.80359,0.98609,1,0.995,0.88513,0.61644,0.68676,0.81032,0.0823894,0.00138944,0.00138944
21,72.6323,0.29568,0.5572,0.77395,0.98594,1,0.995,0.85722,0.54691,0.67873,0.78271,0.0814343,0.00143429,0.00143429
22,76.035,0.44101,0.59108,0.92436,0.98594,1,0.995,0.85722,0.54691,0.67873,0.78271,0.0804763,0.0014763,0.0014763
23,79.426,0.26573,0.59699,0.75363,0.98532,1,0.995,0.85723,0.5603,0.6536,0.79198,0.0795155,0.00151549,0.00151549
24,82.9622,0.28599,0.60209,0.88246,0.98532,1,0.995,0.85723,0.5603,0.6536,0.79198,0.0785518,0.00155184,0.00155184
25,86.4011,0.31263,0.52325,0.84432,0.98456,1,0.995,0.80215,0.62991,0.68543,0.82535,0.0775854,0.00158537,0.00158537
26,89.7836,0.37762,0.62013,0.8995,0.98456,1,0.995,0.80215,0.62991,0.68543,0.82535,0.0766161,0.00161607,0.00161607
27,93.4476,0.31725,0.5648,0.81186,0.98405,1,0.995,0.85724,0.58814,0.63321,0.79392,0.0756439,0.00164394,0.00164394
28,97.038,0.29974,0.50389,0.78844,0.98405,1,0.995,0.85724,0.58814,0.63321,0.79392,0.074669,0.00166899,0.00166899
29,100.679,0.34634,0.56241,0.90936,0.98408,1,0.995,0.85726,0.49867,0.62768,0.80516,0.0736912,0.0016912,0.0016912
30,104.066,0.4407,0.69961,0.87992,0.98408,1,0.995,0.85726,0.49867,0.62768,0.80516,0.0727106,0.00171059,0.00171059
31,107.475,0.43918,0.59463,0.88723,0.98347,1,0.995,0.85726,0.51692,0.66122,0.79409,0.0717271,0.00172714,0.00172714
32,110.828,0.26569,0.49749,0.76084,0.98347,1,0.995,0.85726,0.51692,0.66122,0.79409,0.0707409,0.00174087,0.00174087
33,114.123,0.40098,0.58332,0.94851,0.98276,1,0.995,0.79661,0.52375,0.68669,0.80374,0.0697518,0.00175177,0.00175177
34,117.524,0.32245,0.57593,0.82716,0.98276,1,0.995,0.79661,0.52375,0.68669,0.80374,0.0687598,0.00175984,0.00175984
35,120.97,0.37508,0.56645,0.87713,0.98381,1,0.995,0.85169,0.55585,0.6597,0.79074,0.0677651,0.00176509,0.00176509
36,124.382,0.26044,0.5276,0.76402,0.98381,1,0.995,0.85169,0.55585,0.6597,0.79074,0.0667675,0.0017675,0.0017675
37,127.945,0.3569,0.65616,0.78622,0.98348,1,0.995,0.85728,0.48346,0.66072,0.78172,0.0657671,0.00176709,0.00176709
38,131.368,0.44868,0.56615,0.86898,0.98348,1,0.995,0.85728,0.48346,0.66072,0.78172,0.0647638,0.00176384,0.00176384
39,134.993,0.27816,0.51052,0.82912,0.98319,1,0.995,0.90677,0.4425,0.68474,0.76556,0.0637578,0.00175777,0.00175777
40,138.315,0.27514,0.51669,0.83083,0.98319,1,0.995,0.90677,0.4425,0.68474,0.76556,0.0627489,0.00174887,0.00174887
41,141.708,0.30481,0.55822,0.77465,0.98209,1,0.995,0.93993,0.38498,0.73689,0.76097,0.0617371,0.00173714,0.00173714
42,145.243,0.33416,0.55149,0.85435,0.98209,1,0.995,0.93993,0.38498,0.73689,0.76097,0.0607226,0.00172259,0.00172259
43,148.842,0.45242,0.60731,0.90038,0.98253,1,0.995,0.93994,0.39693,0.70025,0.75745,0.0597052,0.0017052,0.0017052
44,152.32,0.3352,0.51182,0.84104,0.98253,1,0.995,0.93994,0.39693,0.70025,0.75745,0.058685,0.00168499,0.00168499
45,155.888,0.33188,0.57946,0.79185,0.98302,1,0.995,0.91235,0.45377,0.67393,0.76541,0.0576619,0.00166194,0.00166194
46,159.256,0.44258,0.62345,0.87274,0.98302,1,0.995,0.91235,0.45377,0.67393,0.76541,0.0566361,0.00163607,0.00163607
