epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9081,3.12767,4.56644,4.46637,0.00407,0.83333,0.00443,0.00124,2.92735,4.25558,4.15879,0,0,0
2,55.7441,3.08445,4.61847,4.55867,0.00413,0.83333,0.00447,0.00124,2.92702,4.25436,4.15865,1.9604e-05,1.9604e-05,1.9604e-05
3,80.0303,3.15733,4.68284,4.39949,0.00411,0.83333,0.00434,0.00119,2.92666,4.25455,4.15852,3.8416e-05,3.8416e-05,3.8416e-05
4,102.065,2.91171,4.64981,4.60257,0.00413,0.83333,0.00515,0.00136,2.9263,4.25484,4.15837,5.6436e-05,5.6436e-05,5.6436e-05
5,123.784,2.86792,4.66192,4.45709,0.00399,0.83333,0.00426,0.00115,2.92594,4.25361,4.15824,7.3664e-05,7.3664e-05,7.3664e-05
6,144.87,2.95409,4.64637,4.51275,0.00399,0.83333,0.00427,0.00116,2.9256,4.25377,4.15812,9.01e-05,9.01e-05,9.01e-05
7,167.429,2.95743,4.44652,4.38542,0.00412,0.83333,0.00489,0.00131,2.92531,4.25395,4.15805,0.000105744,0.000105744,0.000105744
8,191.005,2.79534,4.6293,4.5282,0.00399,0.83333,0.00429,0.00116,2.92507,4.25413,4.15801,0.000120596,0.000120596,0.000120596
9,213.278,2.85094,4.50537,4.37899,0.00402,0.83333,0.00505,0.00128,2.92494,4.25292,4.15805,0.000134656,0.000134656,0.000134656
10,236.281,2.8034,4.60988,4.42262,0.00405,0.83333,0.00447,0.0012,2.92494,4.2533,4.15814,0.000147924,0.000147924,0.000147924
11,258.249,2.77321,4.42614,4.34361,0.00399,0.83333,0.00467,0.00124,2.925,4.25354,4.15829,0.0001604,0.0001604,0.0001604
12,281.581,2.93957,4.52598,4.31379,0.00397,0.83333,0.0044,0.00128,2.92513,4.25235,4.15848,0.000172084,0.000172084,0.000172084
13,308.562,2.80684,4.40304,4.26512,0.00419,0.83333,0.0046,0.00128,2.92536,4.2525,4.15876,0.000182976,0.000182976,0.000182976
14,334.959,3.01232,4.49531,4.16448,0.00329,0.66667,0.00315,0.00095,2.92582,4.25269,4.15931,0.000193076,0.000193076,0.000193076
15,5565.59,2.8345,4.41871,4.25106,0.00403,0.83333,0.005,0.00134,2.92644,4.25149,4.15984,0.000202384,0.000202384,0.000202384
16,5596.65,2.9494,4.26941,4.17521,0.00324,0.66667,0.00325,0.00102,2.92742,4.25184,4.16057,0.0002109,0.0002109,0.0002109
17,5628.09,2.51096,4.34365,4.13515,0.00406,0.83333,0.00435,0.00119,2.9286,4.25207,4.16146,0.000218624,0.000218624,0.000218624
18,5661.35,2.6573,4.21775,4.12139,0.00398,0.83333,0.00425,0.00118,2.93015,4.25085,4.16263,0.000225556,0.000225556,0.000225556
19,5697.55,2.78082,4.35427,4.15345,0.00408,0.83333,0.00495,0.00126,2.93223,4.25104,4.16414,0.000231696,0.000231696,0.000231696
