epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.4291,1.90311,2.19874,2.60761,0.00327,0.66667,0.00565,0.00147,3.01116,3.91125,4.28198,0,0,0
2,30.2364,1.8227,2.13358,2.44999,0.00327,0.66667,0.00566,0.00147,3.0125,3.91023,4.28293,1.97525e-05,1.97525e-05,1.97525e-05
3,44.4137,1.60045,2.03241,2.34389,0.00327,0.66667,0.00573,0.00133,3.01411,3.90958,4.28444,3.901e-05,3.901e-05,3.901e-05
4,57.7263,1.76501,2.05986,2.57699,0.00328,0.66667,0.00567,0.00131,3.01565,3.90868,4.28603,5.77725e-05,5.77725e-05,5.77725e-05
5,71.3096,1.6602,2.0324,2.49738,0.00329,0.66667,0.00578,0.00134,3.01732,3.9081,4.28786,7.604e-05,7.604e-05,7.604e-05
6,85.0832,1.67788,2.06027,2.48723,0.0033,0.66667,0.00573,0.00132,3.01967,3.90728,4.28952,9.38125e-05,9.38125e-05,9.38125e-05
7,98.3709,1.69545,1.97666,2.53296,0.0033,0.66667,0.00575,0.00132,3.02284,3.90605,4.29285,0.00011109,0.00011109,0.00011109
8,111.904,1.78835,2.06113,2.56884,0.00327,0.66667,0.00572,0.00131,3.02469,3.90382,4.29483,0.000127872,0.000127872,0.000127872
9,126.066,1.73197,2.04342,2.62444,0.00327,0.66667,0.00566,0.0013,3.02631,3.90156,4.29648,0.00014416,0.00014416,0.00014416
10,139.747,1.70295,1.96392,2.42913,0.00329,0.66667,0.00575,0.00132,3.02863,3.89888,4.29805,0.000159952,0.000159952,0.000159952
11,152.771,1.86215,1.8441,2.55535,0.00328,0.66667,0.00577,0.00132,3.02953,3.89632,4.298,0.00017525,0.00017525,0.00017525
12,166.759,1.74244,2.08895,2.5788,0.00328,0.66667,0.0057,0.00131,3.02947,3.8947,4.29789,0.000190053,0.000190053,0.000190053
13,180.635,1.68287,1.87143,2.44125,0.00329,0.66667,0.00568,0.0013,3.03046,3.89413,4.29964,0.00020436,0.00020436,0.00020436
14,194.804,1.55177,1.79044,2.34461,0.00331,0.66667,0.00574,0.00144,3.0315,3.89427,4.30191,0.000218173,0.000218173,0.000218173
15,208.439,1.57225,1.85433,2.38629,0.00328,0.66667,0.00551,0.00139,3.03392,3.89524,4.30491,0.00023149,0.00023149,0.00023149
16,221.965,1.68452,1.83665,2.4186,0.00329,0.66667,0.00548,0.00138,3.03717,3.89685,4.3087,0.000244313,0.000244313,0.000244313
17,235.289,1.72043,1.81196,2.4077,0.00333,0.66667,0.00557,0.0014,3.03965,3.89872,4.31173,0.00025664,0.00025664,0.00025664
18,249.11,1.46319,1.69734,2.21045,0.00334,0.66667,0.00558,0.0014,3.04183,3.90065,4.31351,0.000268473,0.000268473,0.000268473
19,263.176,1.58351,1.89351,2.25807,0.00332,0.66667,0.00554,0.00139,3.04311,3.90244,4.31352,0.00027981,0.00027981,0.00027981
20,276.552,1.55323,1.82828,2.27179,0.00335,0.66667,0.00554,0.00139,3.04534,3.90351,4.31492,0.000290653,0.000290653,0.000290653
21,289.364,1.46175,1.66812,2.27817,0.00336,0.66667,0.00554,0.00138,3.04659,3.90342,4.31525,0.000301,0.000301,0.000301
22,301.899,1.52579,1.77345,2.28431,0.00336,0.66667,0.00553,0.00138,3.04705,3.90175,4.31404,0.000310852,0.000310852,0.000310852
23,314.418,1.62226,1.73178,2.40055,0.00334,0.66667,0.00549,0.00137,3.04746,3.89908,4.31299,0.00032021,0.00032021,0.00032021
24,327.054,1.62229,1.79833,2.36567,0.00334,0.66667,0.00552,0.00138,3.04577,3.8953,4.31052,0.000329072,0.000329072,0.000329072
25,339.892,1.43648,1.66524,2.16861,0.00335,0.66667,0.00553,0.00139,3.04508,3.89168,4.30796,0.00033744,0.00033744,0.00033744
26,352.94,1.46398,1.58395,2.22658,0.00335,0.66667,0.00549,0.00138,3.04487,3.88889,4.30533,0.000345313,0.000345313,0.000345313
27,365.595,1.6581,1.75689,2.40776,0.00333,0.66667,0.00543,0.00137,3.04624,3.88681,4.3055,0.00035269,0.00035269,0.00035269
28,378.773,1.59292,1.67793,2.29772,0.00332,0.66667,0.00544,0.00137,3.0501,3.88519,4.30781,0.000359573,0.000359573,0.000359573
29,391.436,1.49709,1.8169,2.12688,0.00407,0.83333,0.00619,0.00145,3.05211,3.88398,4.30877,0.00036596,0.00036596,0.00036596
30,404.051,1.56429,1.72329,2.28466,0.00408,0.83333,0.00619,0.00145,3.05381,3.88296,4.30965,0.000371852,0.000371852,0.000371852
31,416.457,1.53066,1.63841,2.24988,0.00408,0.83333,0.0062,0.00145,3.05258,3.88154,4.30613,0.00037725,0.00037725,0.00037725
32,429.259,1.59894,1.66132,2.21416,0.00325,0.66667,0.00548,0.00138,3.04891,3.87966,4.30116,0.000382153,0.000382153,0.000382153
33,441.807,1.33653,1.48438,2.08322,0.00327,0.66667,0.00553,0.0014,3.04786,3.87771,4.29773,0.00038656,0.00038656,0.00038656
34,454.364,1.31151,1.39999,2.08082,0.00325,0.66667,0.0055,0.0014,3.04952,3.87643,4.29687,0.000390473,0.000390473,0.000390473
35,467.04,1.40758,1.714,2.23743,0.00327,0.66667,0.00553,0.0014,3.05433,3.87591,4.2994,0.00039389,0.00039389,0.00039389
36,479.564,1.40265,1.61275,2.19964,0.00326,0.66667,0.00554,0.00141,3.06276,3.87641,4.30613,0.000396812,0.000396812,0.000396812
37,492.731,1.50788,1.56527,2.29521,0.00407,0.83333,0.00635,0.00148,3.06877,3.87674,4.3119,0.00039924,0.00039924,0.00039924
38,505.986,1.46876,1.53716,2.16944,0.00404,0.83333,0.00639,0.00148,3.07227,3.87641,4.31575,0.000401172,0.000401172,0.000401172
39,519.055,1.51827,1.59093,2.31857,0.00406,0.83333,0.00646,0.00148,3.07698,3.8762,4.319,0.00040261,0.00040261,0.00040261
40,532.691,1.38933,1.53561,2.1902,0.00407,0.83333,0.0065,0.00136,3.07974,3.87655,4.32095,0.000403552,0.000403552,0.000403552
41,546.471,1.36585,1.63932,2.17485,0.00406,0.83333,0.0065,0.00135,3.08064,3.87702,4.3222,0.000404,0.000404,0.000404
42,559.813,1.41913,1.72469,2.27177,0.00407,0.83333,0.00654,0.00148,3.07939,3.87688,4.31973,0.000403953,0.000403953,0.000403953
43,573.418,1.39718,1.46767,2.0948,0.0041,0.83333,0.00667,0.00136,3.08066,3.87508,4.322,0.00040341,0.00040341,0.00040341
44,586.716,1.56779,1.62966,2.18059,0.00409,0.83333,0.0067,0.00137,3.08027,3.87111,4.31679,0.000402372,0.000402372,0.000402372
45,599.813,1.23787,1.43902,2.08608,0.00408,0.83333,0.00674,0.00138,3.07871,3.86601,4.31122,0.00040084,0.00040084,0.00040084
46,612.939,1.31962,1.44477,2.13228,0.00409,0.83333,0.00692,0.00141,3.07908,3.86144,4.30795,0.000398813,0.000398813,0.000398813
47,626.955,1.20442,1.49234,1.98215,0.00403,0.83333,0.00694,0.00159,3.07558,3.85696,4.30201,0.00039629,0.00039629,0.00039629
48,641.065,1.25997,1.3683,2.04239,0.00404,0.83333,0.00696,0.00159,3.07058,3.85471,4.29425,0.000393273,0.000393273,0.000393273
49,655.096,1.29372,1.37278,2.05745,0.00404,0.83333,0.00699,0.00143,3.06318,3.8534,4.28534,0.00038976,0.00038976,0.00038976
50,668.164,1.23234,1.60441,2.04868,0.00405,0.83333,0.00701,0.00143,3.05665,3.8538,4.27843,0.000385752,0.000385752,0.000385752
51,681.816,1.3238,1.38716,2.04644,0.00407,0.83333,0.00704,0.00144,3.05031,3.8546,4.27211,0.00038125,0.00038125,0.00038125
52,695.586,1.28184,1.41501,2.00702,0.00405,0.83333,0.00711,0.0016,3.04796,3.85437,4.26775,0.000376253,0.000376253,0.000376253
53,709.343,1.12176,1.29573,1.94749,0.00323,0.66667,0.00578,0.00147,3.04858,3.85176,4.26673,0.00037076,0.00037076,0.00037076
54,722.727,1.21018,1.4943,2.08066,0.00324,0.66667,0.00579,0.00132,3.05119,3.84734,4.26662,0.000364773,0.000364773,0.000364773
55,736.163,1.07983,1.28329,1.79509,0.00327,0.66667,0.0058,0.00133,3.05242,3.84282,4.26409,0.00035829,0.00035829,0.00035829
56,750.173,1.31793,1.4637,2.05025,0.00325,0.66667,0.00575,0.00147,3.05072,3.83843,4.2576,0.000351313,0.000351313,0.000351313
57,763.717,1.34536,1.41568,2.03021,0.00324,0.66667,0.00567,0.00145,3.04597,3.83483,4.25129,0.00034384,0.00034384,0.00034384
58,777.592,1.16847,1.33607,1.99422,0.00325,0.66667,0.00564,0.00145,3.04132,3.83347,4.24756,0.000335872,0.000335872,0.000335872
59,791.143,1.13907,1.34164,1.96366,0.00325,0.66667,0.00564,0.00146,3.03665,3.83345,4.24591,0.00032741,0.00032741,0.00032741
60,805.225,1.26444,1.39775,2.04359,0.00407,0.83333,0.00701,0.0016,3.03341,3.83456,4.2461,0.000318453,0.000318453,0.000318453
