epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.3066,1.41093,3.87395,1.21959,0.00787,0.34476,0.14393,0.07975,1.32165,3.9967,1.02367,0.0001625,0.0001625,0.0001625
2,8.1139,1.39966,2.89647,1.13714,0.01367,0.63374,0.2558,0.12965,1.29301,3.84825,1.01204,0.000330818,0.000330818,0.000330818
3,10.9477,1.32017,2.2937,1.1341,0.01339,0.6528,0.23551,0.12718,1.22192,3.70504,0.99004,0.000492205,0.000492205,0.000492205
4,13.771,1.32156,1.9455,1.11747,0.01658,0.7708,0.31964,0.17866,1.35144,3.63213,1.0101,0.000646662,0.000646662,0.000646662
5,16.5992,1.28555,1.76276,1.12429,0.94125,0.14445,0.30663,0.15961,1.43136,3.28242,1.04982,0.00079419,0.00079419,0.00079419
6,19.4055,1.25513,1.68399,1.10472,0.79169,0.07003,0.27626,0.17853,1.28752,3.23134,1.04171,0.000934788,0.000934788,0.000934788
7,22.1745,1.26989,1.60739,1.15159,0.77966,0.3123,0.57672,0.34134,1.37184,2.77708,1.11682,0.00106846,0.00106846,0.00106846
8,25.0071,1.28536,1.59282,1.10777,0.94909,0.31321,0.65225,0.42732,1.25332,2.59243,1.09178,0.00107675,0.00107675,0.00107675
9,27.7911,1.24811,1.42394,1.08572,0.79715,0.66334,0.81605,0.54066,1.2295,1.84452,1.0727,0.001052,0.001052,0.001052
10,30.6273,1.17224,1.38752,1.06313,0.7242,0.625,0.74688,0.50705,1.31047,2.04933,1.12313,0.00102725,0.00102725,0.00102725
11,33.4046,1.14853,1.37066,1.07324,0.64817,0.57273,0.66541,0.43938,1.31648,1.74947,1.12549,0.0010025,0.0010025,0.0010025
12,36.2313,1.0569,1.25124,1.0579,0.71639,0.69429,0.82076,0.55269,1.20282,1.67683,1.09843,0.00097775,0.00097775,0.00097775
13,39.0862,1.11693,1.27528,1.05838,0.71154,0.72935,0.82064,0.54461,1.18713,1.47468,1.1155,0.000953,0.000953,0.000953
