epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.684,5.5138,10.073,4.27526,0,0,0,0,5.38995,7.3384,4.15373,0.1,0,0
2,35.6685,5.48833,8.36388,4.27589,0,0,0,0,5.38192,7.28635,4.14684,0.099098,9.802e-05,9.802e-05
3,51.9162,4.77443,8.85165,4.31466,0,0,0,0,5.37625,7.25108,4.14189,0.0981921,0.00019208,0.00019208
4,69.1825,4.7115,8.04101,4.21925,0,0,0,0,5.3697,7.21581,4.1366,0.0972822,0.00028218,0.00028218
5,84.4984,4.2977,8.13688,4.24622,0,0,0,0,5.35893,7.15835,4.12805,0.0963683,0.00036832,0.00036832
6,100.868,5.60579,9.47564,4.2218,0,0,0,0,5.35065,7.11276,4.12121,0.0954505,0.0004505,0.0004505
7,118.688,4.64043,8.69816,4.28711,0,0,0,0,5.34179,7.06479,4.11391,0.0945287,0.00052872,0.00052872
8,137.119,3.95733,7.31178,4.21192,0,0,0,0,5.33337,7.02417,4.10731,0.093603,0.00060298,0.00060298
9,151.3,5.04643,7.38085,4.17749,0,0,0,0,5.32513,6.98631,4.10082,0.0926733,0.00067328,0.00067328
10,166.98,5.19651,9.40221,4.22766,0,0,0,0,5.31707,6.94438,4.09434,0.0917396,0.00073962,0.00073962
11,180.568,4.74667,6.97446,4.11427,0,0,0,0,5.30638,6.90451,4.08585,0.090802,0.000802,0.000802
12,194.604,4.9044,7.99125,4.10997,0,0,0,0,5.29671,6.86758,4.07875,0.0898604,0.00086042,0.00086042
13,209.847,5.06723,8.33029,4.21186,0,0,0,0,5.28789,6.83365,4.07204,0.0889149,0.00091488,0.00091488
14,225.674,4.53544,7.74123,4.20333,0,0,0,0,5.27876,6.79821,4.06477,0.0879654,0.00096538,0.00096538
15,239.903,4.07375,7.39451,4.09224,0,0,0,0,5.26786,6.75838,4.05662,0.0870119,0.00101192,0.00101192
