epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.75612,6.90114,39.24,4.20068,0,0,0,0,5.87336,9.78797,4.15925,0.1,0,0
2,8.90796,6.85719,27.8703,4.2082,0,0,0,0,5.87282,9.70422,4.1594,0.099098,9.802e-05,9.802e-05
3,13.5071,6.25157,21.6835,4.17688,0,0,0,0,5.87229,9.61596,4.15945,0.0981921,0.00019208,0.00019208
4,18.1824,6.25827,19.0839,4.2007,0,0,0,0,5.87189,9.54868,4.15957,0.0972822,0.00028218,0.00028218
5,23.0536,6.2921,15.6649,4.18085,0,0,0,0,5.87141,9.4761,4.15938,0.0963683,0.00036832,0.00036832
6,27.8667,6.81524,45.0698,4.25011,0,0,0,0,5.87075,9.38951,4.15943,0.0954505,0.0004505,0.0004505
7,32.4262,6.2678,20.4215,4.2041,0,0,0,0,5.87007,9.29449,4.15913,0.0945287,0.00052872,0.00052872
8,37.1119,6.08973,11.8074,4.18956,0,0,0,0,5.86938,9.20354,4.15846,0.093603,0.00060298,0.00060298
9,41.7,6.53091,17.5689,4.1456,0,0,0,0,5.86887,9.13382,4.15822,0.0926733,0.00067328,0.00067328
10,46.8382,6.23378,30.8919,4.16896,0,0,0,0,5.86802,9.03734,4.15792,0.0917396,0.00073962,0.00073962
11,51.6449,6.37976,15.8014,4.22203,0,0,0,0,5.86717,8.93351,4.15722,0.090802,0.000802,0.000802
12,56.3006,6.55451,21.543,4.17763,0,0,0,0,5.86624,8.83688,4.15666,0.0898604,0.00086042,0.00086042
13,61.0058,6.5952,23.5253,4.18803,0,0,0,0,5.86536,8.74076,4.15621,0.0889149,0.00091488,0.00091488
14,65.6317,6.19587,15.2587,4.15879,0,0,0,0,5.86436,8.63623,4.15528,0.0879654,0.00096538,0.00096538
15,70.289,6.17897,12.1779,4.18333,0,0,0,0,5.86348,8.54171,4.15422,0.0870119,0.00101192,0.00101192
16,75.0262,6.3264,14.8285,4.17452,0,0,0,0,5.86253,8.44378,4.15303,0.0860545,0.0010545,0.0010545
17,79.6848,6.03489,19.5782,4.2094,0,0,0,0,5.86165,8.35928,4.15217,0.0850931,0.00109312,0.00109312
18,84.2317,6.22921,23.0094,4.14492,0,0,0,0,5.86165,8.35928,4.15217,0.0841278,0.00112778,0.00112778
19,88.8512,6.75468,34.463,4.14945,0,0,0,0,5.86084,8.27235,4.15207,0.0831585,0.00115848,0.00115848
20,93.4215,6.58187,20.6026,4.15311,0,0,0,0,5.86084,8.27235,4.15207,0.0821852,0.00118522,0.00118522
21,98.1182,6.93049,32.6291,4.1429,0,0,0,0,5.86017,8.19418,4.15207,0.081208,0.001208,0.001208
22,102.853,6.33048,17.4995,4.21389,0,0,0,0,5.86017,8.19418,4.15207,0.0802268,0.00122682,0.00122682
23,107.47,6.15233,13.7015,4.18774,0,0,0,0,5.85944,8.11621,4.15175,0.0792417,0.00124168,0.00124168
24,112.134,5.73876,13.458,4.10394,0,0,0,0,5.85944,8.11621,4.15175,0.0782526,0.00125258,0.00125258
25,116.737,6.60139,19.9565,4.17162,0,0,0,0,5.85862,8.03314,4.15136,0.0772595,0.00125952,0.00125952
26,121.344,6.9548,36.0129,4.13203,0,0,0,0,5.85862,8.03314,4.15136,0.0762625,0.0012625,0.0012625
27,126.201,6.79703,45.2037,4.109,0,0,0,0,5.85789,7.9625,4.15125,0.0752615,0.00126152,0.00126152
28,130.885,6.69112,33.4176,4.0771,0,0,0,0,5.85789,7.9625,4.15125,0.0742566,0.00125658,0.00125658
29,135.548,6.75684,20.877,4.17926,0,0,0,0,5.8571,7.8914,4.15124,0.0732477,0.00124768,0.00124768
30,140.221,6.15872,11.5209,4.12017,0,0,0,0,5.8571,7.8914,4.15124,0.0722348,0.00123482,0.00123482
31,144.972,5.53657,17.4406,4.102,0,0,0,0,5.85625,7.82023,4.15078,0.071218,0.001218,0.001218
32,149.707,5.79087,14.0441,4.23007,0,0,0,0,5.85625,7.82023,4.15078,0.0701972,0.00119722,0.00119722
33,154.452,6.62921,20.5153,4.09313,0,0,0,0,5.85542,7.75164,4.15043,0.0691725,0.00117248,0.00117248
34,158.997,6.86594,28.1406,4.14215,0,0,0,0,5.85542,7.75164,4.15043,0.0681438,0.00114378,0.00114378
35,163.716,5.76232,9.63358,4.16301,0,0,0,0,5.85439,7.67648,4.14982,0.0671111,0.00111112,0.00111112
36,168.321,6.36598,14.5447,4.10718,0,0,0,0,5.85439,7.67648,4.14982,0.0660745,0.0010745,0.0010745
37,173.04,6.89299,23.7362,4.13271,0,0,0,0,5.85338,7.60193,4.14925,0.0650339,0.00103392,0.00103392
38,177.802,5.92302,12.7405,4.11221,0,0,0,0,5.85338,7.60193,4.14925,0.0639894,0.00098938,0.00098938
39,182.441,6.48714,12.2018,4.07574,0,0,0,0,5.85259,7.54049,4.14856,0.0629409,0.00094088,0.00094088
40,187.082,6.44814,12.9303,4.11642,0,0,0,0,5.85259,7.54049,4.14856,0.0618884,0.00088842,0.00088842
